Timestamp,IMU1Data,IMU2Data,Depth
1722257292.643409,"accelerometer {
  x: 0.08837890625
  y: 0.0390625
  z: 0.91943359375
}
gyroscope {
  x: 0.028733232175000012
  y: -0.028733232175000012
  z: -0.050017107860185206
}
magnetometer {
  x: 12.826809118269011
  y: -44.189235961006489
  z: 98.522779407328926
}
temperature: 46.8334084
","accelerometer {
  x: -0.001953125
  y: 0.00732421875
  z: 0.9892578125
}
gyroscope {
  x: -0.0085135502740740776
  y: -0.014898712979629636
  z: -0.03405420109629631
}
magnetometer {
  x: 32.3727576979436
  y: -17.805251013487577
  z: 155.56635234178975
}
temperature: 49.1037521
",-0.1809999942779541
1722257292.7381878,"accelerometer {
  x: 0.0927734375
  y: 0.04052734375
  z: 0.9189453125
}
gyroscope {
  x: 0.029797425959259272
  y: -0.024476457037962973
  z: -0.051081301644444466
}
magnetometer {
  x: 13.168857361422852
  y: -43.83430233882973
  z: 100.29159052774776
}
temperature: 46.8543739
","accelerometer {
  x: -0.00244140625
  y: 0.00732421875
  z: 0.98974609375
}
gyroscope {
  x: -0.011706131626851857
  y: -0.012770325411111116
  z: -0.03511839488055557
}
magnetometer {
  x: 32.717148737283424
  y: -16.380830932408571
  z: 155.92480015824549
}
temperature: 49.1037521
",-0.18000000715255737
1722257292.8442783,"accelerometer {
  x: 0.09326171875
  y: 0.0390625
  z: 0.91748046875
}
gyroscope {
  x: 0.029797425959259272
  y: -0.025540650822222233
  z: -0.050017107860185206
}
magnetometer {
  x: 14.023977969307452
  y: -42.237101039034314
  z: 100.82223386387341
}
temperature: 46.8483849
","accelerometer {
  x: -0.00341796875
  y: 0.009765625
  z: 0.98876953125
}
gyroscope {
  x: -0.0085135502740740776
  y: -0.017027100548148155
  z: -0.03405420109629631
}
magnetometer {
  x: 33.405930815963075
  y: -17.449145993217826
  z: 155.20790452533402
}
temperature: 49.1067467
",-0.1809999942779541
1722257292.9565055,"accelerometer {
  x: 0.0908203125
  y: 0.03955078125
  z: 0.92041015625
}
gyroscope {
  x: 0.028733232175000012
  y: -0.026604844606481493
  z: -0.050017107860185206
}
magnetometer {
  x: 12.484760875115171
  y: -43.124435094476212
  z: 100.99911497591529
}
temperature: 46.8304138
","accelerometer {
  x: -0.0009765625
  y: 0.00927734375
  z: 0.9892578125
}
gyroscope {
  x: -0.0085135502740740776
  y: -0.018091294332407415
  z: -0.03511839488055557
}
magnetometer {
  x: 33.7503218553029
  y: -17.093040972948074
  z: 155.20790452533402
}
temperature: 49.109745
",-0.1860000044107437
1722257293.051963,"accelerometer {
  x: 0.09375
  y: 0.0380859375
  z: 0.91796875
}
gyroscope {
  x: 0.029797425959259272
  y: -0.026604844606481493
  z: -0.050017107860185206
}
magnetometer {
  x: 13.681929726153612
  y: -43.301901905564591
  z: 99.407184967538342
}
temperature: 46.8693504
","accelerometer {
  x: -0.00244140625
  y: 0.0087890625
  z: 0.99072265625
}
gyroscope {
  x: -0.0095777440583333373
  y: -0.014898712979629636
  z: -0.03618258866481483
}
magnetometer {
  x: 34.439103933982551
  y: -17.449145993217826
  z: 154.49100889242254
}
temperature: 49.1007576
",-0.18799999356269836
1722257293.1551976,"accelerometer {
  x: 0.09619140625
  y: 0.03857421875
  z: 0.91796875
}
gyroscope {
  x: 0.029797425959259272
  y: -0.026604844606481493
  z: -0.048952914075925946
}
magnetometer {
  x: 13.168857361422852
  y: -41.349766983592417
  z: 100.29159052774776
}
temperature: 46.8393974
","accelerometer {
  x: -0.001953125
  y: 0.00830078125
  z: 0.9892578125
}
gyroscope {
  x: -0.0095777440583333373
  y: -0.014898712979629636
  z: -0.032990007312037051
}
magnetometer {
  x: 32.3727576979436
  y: -17.449145993217826
  z: 156.64169579115696
}
temperature: 49.0827866
",-0.18000000715255737
1722257293.2820516,"accelerometer {
  x: 0.09375
  y: 0.0390625
  z: 0.91748046875
}
gyroscope {
  x: 0.028733232175000012
  y: -0.025540650822222233
  z: -0.050017107860185206
}
magnetometer {
  x: 13.510905604576692
  y: -45.254036827536765
  z: 99.937828303663991
}
temperature: 46.8453903
","accelerometer {
  x: -0.00537109375
  y: 0.00732421875
  z: 0.9873046875
}
gyroscope {
  x: -0.0085135502740740776
  y: -0.020219681900925934
  z: -0.03405420109629631
}
magnetometer {
  x: 34.439103933982551
  y: -16.380830932408571
  z: 155.20790452533402
}
temperature: 49.0827866
",-0.18000000715255737
1722257293.3603976,"accelerometer {
  x: 0.0908203125
  y: 0.0400390625
  z: 0.91943359375
}
gyroscope {
  x: 0.030861619743518531
  y: -0.026604844606481493
  z: -0.048952914075925946
}
magnetometer {
  x: 14.195002090884373
  y: -42.769501472299453
  z: 98.522779407328926
}
temperature: 46.8453903
","accelerometer {
  x: -0.0029296875
  y: 0.00927734375
  z: 0.9892578125
}
gyroscope {
  x: -0.0085135502740740776
  y: -0.015962906763888896
  z: -0.03405420109629631
}
magnetometer {
  x: 34.094712894642726
  y: -18.517461054027081
  z: 156.64169579115696
}
temperature: 49.0977631
",-0.18000000715255737
1722257293.4741952,"accelerometer {
  x: 0.09033203125
  y: 0.0400390625
  z: 0.9189453125
}
gyroscope {
  x: 0.028733232175000012
  y: -0.026604844606481493
  z: -0.051081301644444466
}
magnetometer {
  x: 12.484760875115171
  y: -42.414567850122694
  z: 99.584066079580225
}
temperature: 46.8214264
","accelerometer {
  x: -0.00244140625
  y: 0.00732421875
  z: 0.9892578125
}
gyroscope {
  x: -0.0095777440583333373
  y: -0.013834519195370376
  z: -0.03405420109629631
}
magnetometer {
  x: 32.717148737283424
  y: -17.093040972948074
  z: 157.71703924052417
}
temperature: 49.1127396
",-0.18000000715255737
1722257293.5721853,"accelerometer {
  x: 0.0888671875
  y: 0.0380859375
  z: 0.91943359375
}
gyroscope {
  x: 0.030861619743518531
  y: -0.025540650822222233
  z: -0.048952914075925946
}
magnetometer {
  x: 13.852953847730532
  y: -43.124435094476212
  z: 101.35287719999906
}
temperature: 46.8483849
","accelerometer {
  x: -0.0029296875
  y: 0.00732421875
  z: 0.9892578125
}
gyroscope {
  x: -0.010641937842592597
  y: -0.018091294332407415
  z: -0.03511839488055557
}
magnetometer {
  x: 33.922517374972813
  y: -16.9149884628132
  z: 157.5378153322963
}
temperature: 49.091774
",-0.1770000010728836
1722257293.6844175,"accelerometer {
  x: 0.09033203125
  y: 0.0390625
  z: 0.916015625
}
gyroscope {
  x: 0.028733232175000012
  y: -0.025540650822222233
  z: -0.052145495428703725
}
magnetometer {
  x: 13.510905604576692
  y: -42.769501472299453
  z: 99.584066079580225
}
temperature: 46.8543739
","accelerometer {
  x: -0.001953125
  y: 0.0078125
  z: 0.9873046875
}
gyroscope {
  x: -0.0095777440583333373
  y: -0.017027100548148155
  z: -0.03405420109629631
}
magnetometer {
  x: 33.922517374972813
  y: -17.983303523622453
  z: 153.95333716773894
}
temperature: 49.061821
",-0.17900000512599945
1722257293.778796,"accelerometer {
  x: 0.0927734375
  y: 0.0390625
  z: 0.9189453125
}
gyroscope {
  x: 0.030861619743518531
  y: -0.027669038390740752
  z: -0.051081301644444466
}
magnetometer {
  x: 14.023977969307452
  y: -45.076570016448386
  z: 98.345898295287043
}
temperature: 46.860363
","accelerometer {
  x: -0.00244140625
  y: 0.00830078125
  z: 0.98779296875
}
gyroscope {
  x: -0.0095777440583333373
  y: -0.017027100548148155
  z: -0.03405420109629631
}
magnetometer {
  x: 35.300081532332115
  y: -17.983303523622453
  z: 156.10402406647336
}
temperature: 49.0887756
",-0.18199999630451202
1722257293.8843608,"accelerometer {
  x: 0.08984375
  y: 0.04052734375
  z: 0.9189453125
}
gyroscope {
  x: 0.029797425959259272
  y: -0.023412263253703713
  z: -0.050017107860185206
}
magnetometer {
  x: 12.826809118269011
  y: -42.414567850122694
  z: 100.64535275183152
}
temperature: 46.8214264
","accelerometer {
  x: -0.00244140625
  y: 0.0087890625
  z: 0.9892578125
}
gyroscope {
  x: -0.0085135502740740776
  y: -0.018091294332407415
  z: -0.03405420109629631
}
magnetometer {
  x: 32.544953217613511
  y: -17.27109348308295
  z: 155.74557625001762
}
temperature: 49.079792
",-0.17800000309944153
1722257293.9892907,"accelerometer {
  x: 0.08935546875
  y: 0.03857421875
  z: 0.91943359375
}
gyroscope {
  x: 0.029797425959259272
  y: -0.027669038390740752
  z: -0.051081301644444466
}
magnetometer {
  x: 12.313736753538251
  y: -44.366702772094868
  z: 97.992136071203277
}
temperature: 46.8573685
","accelerometer {
  x: -0.00341796875
  y: 0.00732421875
  z: 0.9873046875
}
gyroscope {
  x: -0.0095777440583333373
  y: -0.015962906763888896
  z: -0.03405420109629631
}
magnetometer {
  x: 33.578126335632987
  y: -17.983303523622453
  z: 156.46247188292909
}
temperature: 49.0857811
",-0.17800000309944153
1722257294.0920072,"accelerometer {
  x: 0.0908203125
  y: 0.03955078125
  z: 0.91845703125
}
gyroscope {
  x: 0.030861619743518531
  y: -0.027669038390740752
  z: -0.050017107860185206
}
magnetometer {
  x: 14.195002090884373
  y: -43.479368716652971
  z: 99.230303855496459
}
temperature: 46.8513794
","accelerometer {
  x: -0.001953125
  y: 0.0068359375
  z: 0.98681640625
}
gyroscope {
  x: -0.0074493564898148179
  y: -0.018091294332407415
  z: -0.032990007312037051
}
magnetometer {
  x: 33.922517374972813
  y: -16.202778422273695
  z: 157.17936751584057
}
temperature: 49.0827866
",-0.18400000035762787
