Timestamp,IMU1Data,IMU2Data,Depth
1722259893.5967607,"accelerometer {
  x: 0.09375
  y: 0.04736328125
  z: 0.9208984375
}
gyroscope {
  x: 0.030861619743518531
  y: -0.023412263253703713
  z: -0.050017107860185206
}
magnetometer {
  x: 16.760363914538175
  y: -44.366702772094868
  z: 98.699660519370809
}
temperature: 47.2018166
","accelerometer {
  x: 0.00048828125
  y: 0.013671875
  z: 0.99169921875
}
gyroscope {
  x: -0.0074493564898148179
  y: -0.013834519195370376
  z: -0.03405420109629631
}
magnetometer {
  x: 38.571796406060457
  y: -16.380830932408571
  z: 155.56635234178975
}
temperature: 49.5140915
",-0.16899999976158142
1722259893.7077794,"accelerometer {
  x: 0.091796875
  y: 0.04248046875
  z: 0.91845703125
}
gyroscope {
  x: 0.030861619743518531
  y: -0.026604844606481493
  z: -0.048952914075925946
}
magnetometer {
  x: 17.273436279268935
  y: -42.769501472299453
  z: 100.99911497591529
}
temperature: 47.2197876
","accelerometer {
  x: 0.00341796875
  y: 0.01318359375
  z: 0.9892578125
}
gyroscope {
  x: -0.0074493564898148179
  y: -0.015962906763888896
  z: -0.03405420109629631
}
magnetometer {
  x: 37.366427768371068
  y: -15.846673402003944
  z: 157.5378153322963
}
temperature: 49.4931259
",-0.17399999499320984
1722259893.8277776,"accelerometer {
  x: 0.09326171875
  y: 0.044921875
  z: 0.92041015625
}
gyroscope {
  x: 0.029797425959259272
  y: -0.027669038390740752
  z: -0.047888720291666687
}
magnetometer {
  x: 16.589339792961255
  y: -43.124435094476212
  z: 103.12168832041789
}
temperature: 47.1808472
","accelerometer {
  x: 0.00048828125
  y: 0.0126953125
  z: 0.990234375
}
gyroscope {
  x: -0.0085135502740740776
  y: -0.017027100548148155
  z: -0.032990007312037051
}
magnetometer {
  x: 37.366427768371068
  y: -13.710043280385435
  z: 156.82091969938483
}
temperature: 49.517086
",-0.16599999368190765
1722259893.9042783,"accelerometer {
  x: 0.09375
  y: 0.04638671875
  z: 0.91748046875
}
gyroscope {
  x: 0.029797425959259272
  y: -0.023412263253703713
  z: -0.047888720291666687
}
magnetometer {
  x: 16.589339792961255
  y: -43.83430233882973
  z: 98.16901718324516
}
temperature: 47.1838455
","accelerometer {
  x: 0.0009765625
  y: 0.01318359375
  z: 0.9912109375
}
gyroscope {
  x: -0.0085135502740740776
  y: -0.018091294332407415
  z: -0.03405420109629631
}
magnetometer {
  x: 38.399600886390544
  y: -16.202778422273695
  z: 158.25471096520778
}
temperature: 49.499115
",-0.1720000058412552
1722259894.0092788,"accelerometer {
  x: 0.09423828125
  y: 0.044921875
  z: 0.92041015625
}
gyroscope {
  x: 0.029797425959259272
  y: -0.027669038390740752
  z: -0.050017107860185206
}
magnetometer {
  x: 17.273436279268935
  y: -44.544169583183248
  z: 99.937828303663991
}
temperature: 47.2018166
","accelerometer {
  y: 0.013671875
  z: 0.9912109375
}
gyroscope {
  x: -0.0095777440583333373
  y: -0.014898712979629636
  z: -0.03405420109629631
}
magnetometer {
  x: 38.74399192573037
  y: -15.846673402003944
  z: 158.25471096520778
}
temperature: 49.517086
",-0.17000000178813934
1722259894.107278,"accelerometer {
  x: 0.0908203125
  y: 0.0458984375
  z: 0.92041015625
}
gyroscope {
  x: 0.030861619743518531
  y: -0.028733232175000012
  z: -0.047888720291666687
}
magnetometer {
  x: 17.273436279268935
  y: -44.544169583183248
  z: 98.876541631412692
}
temperature: 47.1748581
","accelerometer {
  x: 0.00048828125
  y: 0.01318359375
  z: 0.98876953125
}
gyroscope {
  x: -0.0085135502740740776
  y: -0.017027100548148155
  z: -0.03618258866481483
}
magnetometer {
  x: 37.022036729031242
  y: -16.9149884628132
  z: 156.82091969938483
}
temperature: 49.511097
",-0.17499999701976776
1722259894.212287,"accelerometer {
  x: 0.09521484375
  y: 0.04443359375
  z: 0.91845703125
}
gyroscope {
  x: 0.031925813527777791
  y: -0.026604844606481493
  z: -0.047888720291666687
}
magnetometer {
  x: 16.931388036115095
  y: -43.124435094476212
  z: 103.12168832041789
}
temperature: 47.2078056
","accelerometer {
  x: 0.00048828125
  y: 0.0126953125
  z: 0.99169921875
}
gyroscope {
  x: -0.0063851627055555582
  y: -0.015962906763888896
  z: -0.03511839488055557
}
magnetometer {
  x: 39.432774004410021
  y: -16.202778422273695
  z: 157.5378153322963
}
temperature: 49.5081024
",-0.1679999977350235
1722259894.307791,"accelerometer {
  x: 0.09228515625
  y: 0.04248046875
  z: 0.91845703125
}
gyroscope {
  x: 0.028733232175000012
  y: -0.027669038390740752
  z: -0.048952914075925946
}
magnetometer {
  x: 20.009822224499658
  y: -46.318837694067042
  z: 98.16901718324516
}
temperature: 47.2018166
","accelerometer {
  x: 0.0009765625
  y: 0.013671875
  z: 0.990234375
}
gyroscope {
  x: -0.0074493564898148179
  y: -0.017027100548148155
  z: -0.032990007312037051
}
magnetometer {
  x: 39.260578484740108
  y: -16.380830932408571
  z: 157.71703924052417
}
temperature: 49.5320625
",-0.17499999701976776
1722259894.413297,"accelerometer {
  x: 0.095703125
  y: 0.0419921875
  z: 0.9189453125
}
gyroscope {
  x: 0.028733232175000012
  y: -0.025540650822222233
  z: -0.051081301644444466
}
magnetometer {
  x: 14.879098577192053
  y: -43.479368716652971
  z: 98.876541631412692
}
temperature: 47.2467422
","accelerometer {
  x: -0.00146484375
  y: 0.0126953125
  z: 0.9873046875
}
gyroscope {
  x: -0.0085135502740740776
  y: -0.014898712979629636
  z: -0.03405420109629631
}
magnetometer {
  x: 37.366427768371068
  y: -16.202778422273695
  z: 155.74557625001762
}
temperature: 49.5051079
",-0.17100000381469727
1722259894.5193133,"accelerometer {
  x: 0.09228515625
  y: 0.0458984375
  z: 0.9189453125
}
gyroscope {
  x: 0.029797425959259272
  y: -0.025540650822222233
  z: -0.051081301644444466
}
magnetometer {
  x: 17.102412157692015
  y: -44.011769149918109
  z: 98.345898295287043
}
temperature: 47.2018166
","accelerometer {
  x: -0.0009765625
  y: 0.0126953125
  z: 0.98828125
}
gyroscope {
  x: -0.0095777440583333373
  y: -0.014898712979629636
  z: -0.03511839488055557
}
magnetometer {
  x: 38.74399192573037
  y: -15.490568381734192
  z: 156.82091969938483
}
temperature: 49.5140915
",-0.17299999296665192
